,username,tweet,retweet,favorites
0,Samuel Lumbantobing,"b'@mochamadarip @PDemokrat Mimpi anak muda karbitan yg belum tinggi jam terbangnya di parlemen, pemerintahan ataupun swasta. Hanya seorang anak muda yg krn "" bapaknya "" bisa memiliki posisi sebagai ketua umum parpol.'",0,0
1,Ide2nesia,"b'@saidi_sudarsono Mau pemerintah Indonesia menjadi baik ?\n\nMari kita suarakan ""Pembenahan Parpol"", karena ""Pembenahan Parpol"" adalah satu-satunya jalan untuk memperbaiki pemerintah &amp; membawa kesejahteraan bagi rakyat\n\nSilahkan baca artikel ini :\n\nhttps://t.co/lO5b5uydo2\n\n\xf0\x9f\x99\x8f\nhttps://t.co/kSoDnmcGAa'",0,0
2,Law Justice News,b'Pengakuan Gatot Soal Parpol yang Tembak Dirinya untuk Pilpres 2024 https://t.co/msRkZC9wmw',0,1
3,Singa Edan,"b'RT @abu_waras: Jika di Pilpres 2024 ada 3 Pasangan Calon, dengan komposisi pasangan seperti ini, siapa yang akan anda pilih? \n\n*Bantu  RT a\xe2\x80\xa6'",217,0
4,Najibson,b'RT @HunterJagar: Barang rongsok mau dipoles kayak apa saja tetap tak laku dan tidak ada nilai jual\n\nJenderal rasa kopral\nhttps://t.co/YuuKv\xe2\x80\xa6',27,0
5,Samuel Lumbantobing,"b'@mochamadarip @PDemokrat Mimpi anak muda karbitan yg belum tinggi jam terbangnya di parlemen, pemerintahan ataupun swasta. Hanya seorang anak muda yg krn "" bapaknya "" bisa memiliki posisi sebagai ketua umum parpol.'",0,0
6,Ide2nesia,"b'@saidi_sudarsono Mau pemerintah Indonesia menjadi baik ?\n\nMari kita suarakan ""Pembenahan Parpol"", karena ""Pembenahan Parpol"" adalah satu-satunya jalan untuk memperbaiki pemerintah &amp; membawa kesejahteraan bagi rakyat\n\nSilahkan baca artikel ini :\n\nhttps://t.co/lO5b5uydo2\n\n\xf0\x9f\x99\x8f\nhttps://t.co/kSoDnmcGAa'",0,0
7,Law Justice News,b'Pengakuan Gatot Soal Parpol yang Tembak Dirinya untuk Pilpres 2024 https://t.co/msRkZC9wmw',0,1
8,OLI - ☆,b'@fuckingkcalorys JAGAHAHA tal cual',0,1
9,🐥,b'RT @HunterJagar: Barang rongsok mau dipoles kayak apa saja tetap tak laku dan tidak ada nilai jual\n\nJenderal rasa kopral\nhttps://t.co/YuuKv\xe2\x80\xa6',27,0
10,KIP 😊🤣🐪🐪🐪,b'RT @MSKaban3: @Zahrah40291660 @Matahari_1912 @Patiunus14 @LatanZa121325 @FKadrun @Da_yangqu @ZahrilLabung @Alismar89937714 @JacksQuevara @A\xe2\x80\xa6',2,0
11,Ide2nesia,"b'@DayRambo @yosephsianturi @Dieksyifa_ @febridiansyah Menjawab pertanyaan mas ini, seharusnya KPK suarakan dong perbaikan sistem partai politik &amp; pemilu\n\nNih coba deh mas baca-baca dulu artikel ""Pembenahan Partai Politik"" ini :\n\nhttps://t.co/lO5b5uydo2\n\n\xf0\x9f\x99\x8f\nhttps://t.co/kSoDnmcGAa'",0,1
12,EdwarFeggy,"b'RT @Jhonkosmik: Terkait pemilu 2024.\n\nSikap sy jelas dan tegas, hanya akan membantu mensosialisasikan dukungan untuk parpol yang berkoalisi\xe2\x80\xa6'",15,0
13,Partai Bulan Bintang,"b'\xe2\x80\x9cSemangat ini menjadi motivasi kepengurusan PBB se-Indonesia. Bali dapat membuktikan ternyata di provinsi yang penduduknya bukan mayoritas muslim, namun PBB di Bali sangat maju sebagai kekuatan parpol,\xe2\x80\x9d kata Afriansyah\n\n https://t.co/0NUeO90Ch1'",0,1
14,Abadikini.com,b'Afriansyah Noor: Partai Bulan Bintang di Bali Sangat Maju sebagai Kekuatan Parpol https://t.co/DkflMfyXBL',0,0
15,#TT Dewi Darmawati,b'RT @SantorinisSun: Kenyataan pahit seringkali dialami oleh seorg yg kapasitas sebenarnya cuma sebatas pion!\nDibutuhkan utk maju paling dpn\xe2\x80\xa6',26,0
16,#JokerMerah,b'RT @SantorinisSun: Kenyataan pahit seringkali dialami oleh seorg yg kapasitas sebenarnya cuma sebatas pion!\nDibutuhkan utk maju paling dpn\xe2\x80\xa6',26,0
17,Ide2nesia,"b'@PartBurungGalak Mau pemerintah Indonesia menjadi baik ?\n\nMari kita suarakan ""Pembenahan Parpol"", karena ""Pembenahan Parpol"" adalah satu-satunya jalan untuk memperbaiki pemerintah &amp; membawa kesejahteraan bagi rakyat\n\nSilahkan baca artikel ini :\n\nhttps://t.co/lO5b5uydo2\n\n\xf0\x9f\x99\x8f\nhttps://t.co/kSoDnmcGAa'",0,1
18,hidayat rambo,"b'@ide2nesia @yosephsianturi @Dieksyifa_ @febridiansyah 1. Yakin jaksa/polisi punya integritas?? \n2. Jika tidak ada OTT KPU, Bansos, Kepala Daerah (background parpol) kasus TWK ini ada?\n3. Jika prioritas keberhasilan KPK adalah pencegahan, perlu sinergi lintas bidang dalam prosesnya dan tidak bisa instan hasilnya bisa di lihat?'",0,0
19,AcoyBK,"b'Gotong royong, bilamana dipakai kalau negeri sedang dalam musibah do\'ang ?\nPandemi\nBencana alam\nKrisis ekonomi &amp; resesi\n\nBahas anggaran ngumpet "" Parpol""wkl rakyat Pejabat n kontraktor bersepakat bagi ""Proyek, ujung"" nya rakyat yg dirugikan https://t.co/LK8cDnmp4r'",0,0
20,TEGAR. GP,b'RT @SantorinisSun: Kenyataan pahit seringkali dialami oleh seorg yg kapasitas sebenarnya cuma sebatas pion!\nDibutuhkan utk maju paling dpn\xe2\x80\xa6',26,0
21,Sarwani Jkt,"b'RT @TVRINasional: Kali ini De Parpol akan ngebahas \xe2\x80\x9cPemarah vs Peramah\xe2\x80\x9d bareng sama para komedian yang super lucu\xf0\x9f\xa4\xa3 \nJamin deh, #PemirsaTVRI\xe2\x80\xa6'",1,0
22,Nuswantoro,"b""@saiful_mujani @msaid_didu @jokowi Jokowi dikorbankan demi 'suksesi' parpol dalam menggelar 'garong negara'.\n\nKasihan bapak jokowi terhimpit oleh gurita partai. D seruduk banteng...\n\nBismillah\n\n. Komisaris""",0,1
23,🇲🇨DeglenG🇲🇨,b'RT @HunterJagar: Barang rongsok mau dipoles kayak apa saja tetap tak laku dan tidak ada nilai jual\n\nJenderal rasa kopral\nhttps://t.co/YuuKv\xe2\x80\xa6',27,0
24,B̴A̴S̴M̴I̴ ̴A̴N̴J̴I̴N̴G̴ ̴P̴E̴K̴I̴N̴G̴!̴!̴!̴,b'RT @tjeeeloup: Yan setuju PARPOL turun ke jalan.\n\nRETWEET \xf0\x9f\x94\x82.\n\n#ParpolMatiSuri',21,0
25,Ide2nesia,"b'@Minietweets2 @YRadianto @budimandjatmiko Mau pemerintah Indonesia menjadi baik ?\n\nMari kita suarakan ""Pembenahan Parpol"", karena ""Pembenahan Parpol"" adalah satu-satunya jalan untuk memperbaiki pemerintah &amp; membawa kesejahteraan bagi rakyat\n\nSilahkan baca artikel ini :\n\nhttps://t.co/lO5b5uydo2\n\n\xf0\x9f\x99\x8f\nhttps://t.co/kSoDnmcGAa'",0,1
26,TVRI Nasional,"b'Kali ini De Parpol akan ngebahas \xe2\x80\x9cPemarah vs Peramah\xe2\x80\x9d bareng sama para komedian yang super lucu\xf0\x9f\xa4\xa3 \nJamin deh, #PemirsaTVRI ketawa terus!\xf0\x9f\x98\x9c\xf0\x9f\x98\x82\n\nSabtu, 12 Juni 2021 pukul 19.00 WIB\n\n#TVRI #TVRINasional #MediaPemersatuBangsa #DeParpol https://t.co/yOqXJESQdz'",1,5
27,Elang Selatan,"b'RT @Jhonkosmik: Terkait pemilu 2024.\n\nSikap sy jelas dan tegas, hanya akan membantu mensosialisasikan dukungan untuk parpol yang berkoalisi\xe2\x80\xa6'",15,0
